time,value,gender,age,became_member_on,income,reward,offer_received,offer_viewed,offer_completed,transaction,offer_views_missed,informational,bogo,discount,total_reward_completed,total_duration_completed,total_difficulty_completed,difficulty_offered,duration_offered,last_time_offer_received,last_time_offer_completed,first_time_offer_received,first_time_offer_completed,mean_time_between_actions,amount_of_completed_user_paths,email,social,web,mobile
624,164.01,O,52.0,20160306,80000.0,69.0,4,4,4,8,0,0,6,6,23.0,1.35,2.1,10.5,6.75,576,594,0,False,31.200000000000003,2,12.0,9.0,12.0,9.0
600,124.09,F,58.0,20180630,102000.0,80.0,5,4,3,5,1,0,7,5,14.0,1.2941176470588236,1.7647058823529411,10.0,6.583333333333334,576,582,0,False,35.294117647058826,0,12.0,10.0,12.0,12.0
654,6.979999999999999,M,33.0,20171222,42000.0,32.0,4,3,0,2,1,0,2,5,0.0,0.0,0.0,9.142857142857142,6.857142857142858,408,0,0,False,72.66666666666667,0,7.0,5.0,7.0,7.0
576,2.59,M,28.0,20171003,35000.0,51.0,6,4,0,2,2,2,4,4,0.0,0.0,0.0,9.0,6.9,576,0,0,False,48.0,0,10.0,6.0,8.0,9.0
666,241.55,M,47.0,20170225,86000.0,45.0,4,4,3,11,0,2,3,6,15.0,1.0909090909090908,1.227272727272727,7.363636363636363,7.272727272727272,576,594,0,False,30.272727272727273,2,11.0,9.0,8.0,11.0
678,134.74000000000004,F,22.0,20161115,49000.0,24.0,5,4,3,14,1,3,0,9,8.0,0.9230769230769231,0.9230769230769231,6.0,6.833333333333334,576,666,0,False,26.076923076923077,0,12.0,11.0,10.0,12.0
690,26.98,M,34.0,20180519,38000.0,61.0,5,4,0,9,1,0,6,3,0.0,0.0,0.0,9.333333333333334,6.4444444444444455,576,0,0,False,31.66666666666667,0,9.0,8.0,7.0,8.0
564,64.27000000000001,M,53.0,20180515,73000.0,16.0,3,3,2,3,0,0,0,8,4.0,1.5454545454545454,1.818181818181818,10.0,8.875,504,564,0,False,45.81818181818182,1,8.0,5.0,8.0,8.0
660,26.18,M,53.0,20180128,40000.0,61.0,5,3,1,8,2,0,6,3,5.0,0.41176470588235287,0.29411764705882354,9.333333333333334,7.333333333333334,576,438,0,False,38.8235294117647,0,9.0,6.0,5.0,8.0
672,334.64000000000004,F,58.0,20171211,115000.0,70.0,6,4,5,12,2,1,9,5,24.0,1.259259259259259,1.4814814814814814,7.333333333333334,6.6000000000000005,576,642,0,False,24.88888888888889,3,15.0,9.0,15.0,15.0
654,59.620000000000005,M,22.0,20151224,32000.0,69.0,5,5,4,19,0,2,9,3,23.0,0.7272727272727273,0.8181818181818182,5.7857142857142865,5.571428571428571,576,582,0,False,19.818181818181817,1,14.0,11.0,12.0,14.0
666,162.42000000000002,M,71.0,20161229,75000.0,59.0,5,3,5,7,2,0,6,7,21.0,1.8,2.25,8.846153846153848,7.230769230769232,576,666,0,False,33.300000000000004,2,13.0,6.0,13.0,13.0
708,44.599999999999994,M,45.0,20180125,88000.0,50.0,5,4,1,2,1,2,4,4,10.0,0.5833333333333334,0.8333333333333334,7.4,7.0,576,708,0,False,59.0,1,10.0,8.0,6.0,10.0
708,191.55,F,82.0,20141211,33000.0,32.0,3,3,2,20,0,0,2,6,4.0,0.7142857142857143,0.7142857142857143,10.0,8.75,576,618,0,False,25.285714285714285,1,8.0,8.0,8.0,8.0
624,23.07,M,40.0,20161018,65000.0,39.0,5,4,1,2,1,2,3,5,5.0,0.8333333333333334,1.6666666666666667,10.0,6.7,576,624,0,False,52.0,0,10.0,5.0,7.0,7.0
702,30.98,M,35.0,20180226,70000.0,34.0,4,3,1,7,1,2,2,4,3.0,0.4666666666666667,0.4666666666666667,7.625,6.125,576,324,0,False,46.800000000000004,0,8.0,5.0,8.0,7.0
708,614.59,M,73.0,20160417,45000.0,34.0,5,4,3,17,1,4,0,8,13.0,0.9310344827586208,1.6206896551724135,10.083333333333334,7.083333333333334,576,576,0,False,24.41379310344828,0,12.0,5.0,10.0,7.0
690,236.96,M,55.0,20160731,94000.0,35.0,4,2,3,11,2,0,4,5,9.0,1.2000000000000002,1.25,8.333333333333334,8.0,504,522,0,False,33.9,2,9.0,4.0,8.0,9.0
708,4.03,M,60.0,20170816,74000.0,28.0,4,4,0,1,0,2,2,4,0.0,0.0,0.0,7.5,6.25,504,0,0,False,60.0,0,8.0,6.0,6.0,8.0
714,15.790000000000001,M,45.0,20180114,52000.0,55.0,5,4,0,5,1,2,6,1,0.0,0.0,0.0,7.777777777777779,6.0,576,0,0,False,51.0,0,9.0,8.0,3.0,8.0
648,186.23,M,57.0,20170415,80000.0,90.0,4,4,4,10,0,0,6,6,30.0,1.5454545454545454,2.727272727272727,15.0,8.5,576,642,0,False,29.454545454545453,2,12.0,6.0,6.0,6.0
582,80.10000000000001,F,56.0,20180223,91000.0,40.0,3,3,1,3,0,2,5,0,10.0,0.7000000000000001,1.0,5.714285714285714,5.857142857142858,576,336,0,False,58.2,0,7.0,5.0,2.0,7.0
600,76.65,M,55.0,20161115,104000.0,6.0,3,2,1,3,1,3,0,3,2.0,1.1111111111111112,1.1111111111111112,5.0,6.666666666666668,576,600,0,False,48.0,1,6.0,5.0,4.0,6.0
666,144.97,M,19.0,20160725,50000.0,56.0,5,3,5,11,2,0,6,7,22.0,1.6666666666666667,2.5,10.76923076923077,7.6923076923076925,576,588,0,False,23.5,0,13.0,9.0,13.0,9.0
690,129.86,F,68.0,20170328,32000.0,58.0,6,4,4,18,2,2,4,8,16.0,0.9687500000000001,1.21875,8.0,6.857142857142858,576,594,0,False,21.5625,1,14.0,10.0,10.0,12.0
654,20.200000000000006,M,52.0,20180501,38000.0,20.0,4,3,1,5,1,0,0,8,2.0,0.5384615384615384,0.7692307692307693,8.5,7.75,576,390,0,False,50.30769230769231,0,8.0,6.0,8.0,8.0
546,64.03999999999999,M,57.0,20170821,55000.0,14.0,4,4,0,3,0,4,0,4,0.0,0.0,0.0,7.5,6.75,504,0,0,False,49.63636363636363,0,8.0,4.0,6.0,6.0
576,191.68,F,86.0,20180412,109000.0,51.0,6,2,3,6,4,1,5,5,17.0,1.5882352941176472,2.3529411764705883,9.545454545454545,7.7272727272727275,576,516,0,False,33.88235294117647,0,11.0,7.0,9.0,9.0
576,176.74,F,54.0,20170917,117000.0,26.0,5,3,2,6,2,3,4,3,7.0,1.0625,0.9375,5.0,6.5,576,168,0,False,36.0,1,10.0,6.0,9.0,10.0
714,69.17999999999999,M,58.0,20141024,54000.0,60.0,5,5,3,20,0,0,7,6,10.0,0.5757575757575758,0.6666666666666666,7.384615384615386,6.230769230769232,576,384,0,False,21.636363636363637,0,13.0,8.0,13.0,13.0
576,154.99,F,86.0,20170622,73000.0,50.0,4,3,2,8,1,2,7,0,15.0,0.5882352941176471,0.8823529411764706,5.555555555555555,4.777777777777779,576,396,0,False,24.0,1,9.0,8.0,7.0,9.0
666,186.54,M,67.0,20170821,79000.0,45.0,4,4,3,9,0,2,6,3,15.0,1.0,1.5,8.181818181818183,6.0,504,528,0,False,33.300000000000004,3,11.0,8.0,9.0,8.0
630,6.32,M,70.0,20180301,60000.0,34.0,5,3,0,4,2,1,2,5,0.0,0.0,0.0,7.25,6.625,576,0,0,False,52.5,0,8.0,6.0,6.0,8.0
672,417.9299999999999,F,61.0,20151010,118000.0,81.0,5,5,5,16,0,0,9,6,27.0,1.2580645161290325,1.6129032258064515,10.0,7.800000000000001,576,606,0,False,18.193548387096776,2,15.0,9.0,12.0,12.0
678,287.10999999999996,F,52.0,20160324,115000.0,32.0,6,5,3,10,1,6,2,6,14.0,1.125,1.25,5.714285714285714,6.714285714285714,576,618,0,False,28.25,2,14.0,12.0,8.0,14.0
558,199.65,F,70.0,20171109,76000.0,60.0,3,3,3,10,0,0,6,3,20.0,1.0526315789473684,1.8421052631578947,11.666666666666666,6.666666666666668,504,504,0,False,29.36842105263158,2,9.0,6.0,9.0,6.0
618,235.41,M,56.0,20160322,99000.0,57.0,5,5,5,10,0,0,3,12,19.0,1.6400000000000001,1.8800000000000001,9.4,8.200000000000001,576,618,0,False,24.72,4,15.0,12.0,12.0,15.0
708,18.28,F,44.0,20170118,35000.0,13.0,5,1,1,3,4,2,0,5,2.0,0.7000000000000001,1.0,8.571428571428571,6.571428571428571,576,708,0,False,70.8,0,7.0,0.0,7.0,6.0
714,14.290000000000001,M,46.0,20180710,35000.0,70.0,5,4,0,6,1,1,8,0,0.0,0.0,0.0,7.777777777777779,6.222222222222222,576,0,0,False,47.6,0,9.0,6.0,5.0,9.0
696,83.2,F,84.0,20171014,74000.0,31.0,4,3,2,5,1,1,2,6,7.0,1.2142857142857142,2.1428571428571432,11.11111111111111,7.222222222222222,576,648,0,False,49.714285714285715,1,9.0,2.0,9.0,6.0
660,10.330000000000004,M,22.0,20180317,57000.0,35.0,4,3,0,5,1,2,4,1,0.0,0.0,0.0,7.142857142857143,5.142857142857143,576,0,0,False,55.0,0,7.0,6.0,5.0,6.0
714,161.51000000000002,M,62.0,20150902,90000.0,81.0,4,4,4,8,0,0,6,6,27.0,1.7000000000000002,2.5,12.5,8.5,576,600,0,False,20.700000000000003,2,12.0,9.0,6.0,9.0
576,45.79,F,57.0,20180601,79000.0,11.0,6,2,1,3,4,5,1,3,2.0,0.5833333333333334,0.8333333333333334,3.8888888888888893,5.333333333333333,576,108,0,False,48.0,0,9.0,4.0,6.0,9.0
714,55.18000000000001,M,24.0,20140518,56000.0,9.0,5,2,0,15,3,4,0,3,0.0,0.0,0.0,5.714285714285714,5.142857142857143,576,0,0,False,32.45454545454545,0,7.0,4.0,3.0,6.0
678,131.04999999999998,F,66.0,20151229,57000.0,22.0,6,5,3,9,1,6,0,8,9.0,1.3043478260869563,1.7391304347826086,7.142857142857143,7.42857142857143,576,678,0,False,29.47826086956522,1,14.0,6.0,14.0,12.0
618,198.08999999999995,F,68.0,20151214,76000.0,44.0,4,2,3,9,2,2,3,4,17.0,1.3333333333333333,2.2222222222222223,10.0,7.0,576,612,0,False,31.66666666666667,1,9.0,3.0,6.0,7.0
600,58.28000000000001,F,54.0,20170713,30000.0,45.0,4,3,1,8,1,1,7,0,5.0,0.3125,0.3125,5.625,5.375,408,420,0,False,37.5,0,8.0,7.0,6.0,8.0
654,151.82999999999998,M,20.0,20160102,43000.0,70.0,4,3,3,13,1,2,6,2,25.0,0.9565217391304348,1.7391304347826086,10.0,6.4,576,636,0,False,28.17391304347826,0,10.0,6.0,7.0,8.0
678,110.51999999999998,M,56.0,20171106,35000.0,31.0,5,5,2,13,0,4,3,5,7.0,0.48,0.6000000000000001,7.083333333333334,6.0,576,594,0,False,27.12,1,12.0,3.0,12.0,10.0
576,1003.4100000000001,M,61.0,20150829,100000.0,56.0,6,5,3,10,1,4,6,4,18.0,0.875,0.9166666666666666,5.42857142857143,5.857142857142858,576,510,0,False,24.0,1,14.0,10.0,7.0,14.0
672,50.550000000000004,M,72.0,20180122,45000.0,40.0,5,4,1,18,1,1,4,5,2.0,0.3571428571428572,0.3571428571428572,8.0,7.6000000000000005,504,396,0,False,24.0,0,10.0,5.0,8.0,10.0
582,64.33000000000001,M,61.0,20171014,78000.0,34.0,6,6,2,3,0,6,5,3,8.0,0.8235294117647057,0.7058823529411765,3.2857142857142856,5.571428571428571,576,570,0,False,34.23529411764706,1,14.0,5.0,12.0,14.0
666,98.65,M,61.0,20161202,34000.0,60.0,5,5,4,13,0,2,12,0,20.0,0.8148148148148148,0.7407407407407407,4.2857142857142865,5.142857142857143,576,594,0,False,24.66666666666667,2,14.0,11.0,12.0,14.0
552,37.04,F,75.0,20180502,109000.0,30.0,2,2,2,2,0,0,6,0,10.0,1.5,1.25,5.0,6.0,408,552,0,False,48.0,2,6.0,3.0,6.0,6.0
576,54.62000000000001,F,57.0,20151119,116000.0,75.0,4,2,3,2,2,0,9,0,25.0,1.3636363636363635,2.2727272727272734,8.333333333333334,5.222222222222222,576,510,0,False,21.818181818181817,0,9.0,9.0,8.0,9.0
606,248.65,M,52.0,20160825,95000.0,79.0,5,4,5,10,1,0,6,8,27.0,1.375,1.9583333333333333,9.35714285714286,6.571428571428571,504,504,0,False,25.25,2,14.0,9.0,11.0,14.0
534,61.12000000000001,F,60.0,20180322,51000.0,24.0,4,3,1,4,1,2,0,6,5.0,0.8333333333333334,1.6666666666666667,12.5,8.5,504,240,0,False,39.0,0,8.0,2.0,8.0,4.0
618,222.96,F,74.0,20171130,72000.0,85.0,4,3,4,10,1,0,9,2,30.0,1.2857142857142858,2.1428571428571432,10.454545454545457,6.454545454545454,504,516,0,False,29.42857142857143,3,11.0,9.0,8.0,9.0
708,141.20000000000002,F,23.0,20151108,33000.0,62.0,5,4,3,21,1,0,6,6,9.0,0.7272727272727273,0.7575757575757576,9.166666666666666,7.416666666666668,504,546,0,False,21.454545454545453,1,12.0,7.0,10.0,12.0
678,16.48,M,27.0,20180710,39000.0,35.0,5,2,0,7,3,0,3,4,0.0,0.0,0.0,8.428571428571429,6.42857142857143,576,0,0,False,48.42857142857143,0,7.0,4.0,7.0,7.0
576,515.0899999999999,M,59.0,20170715,76000.0,30.0,3,1,2,8,2,0,3,3,10.0,1.2142857142857142,1.7857142857142858,12.5,8.5,576,348,0,False,41.142857142857146,1,6.0,0.0,6.0,3.0
618,156.05,F,74.0,20161111,91000.0,16.0,4,2,2,6,2,3,2,3,7.0,1.0714285714285714,1.0714285714285714,5.0,6.25,576,618,0,False,44.142857142857146,1,8.0,7.0,6.0,8.0
504,57.099999999999994,M,55.0,20170912,79000.0,29.0,3,3,1,3,0,0,4,3,3.0,0.7000000000000001,0.7000000000000001,5.857142857142858,5.857142857142858,504,90,0,False,50.400000000000006,1,7.0,7.0,7.0,7.0
630,644.2899999999998,F,87.0,20180717,77000.0,66.0,4,4,4,5,0,0,9,3,22.0,1.8235294117647056,1.7647058823529411,7.5,7.75,576,606,0,False,27.176470588235293,4,12.0,6.0,9.0,12.0
708,251.46,F,53.0,20151030,88000.0,91.0,6,4,5,12,2,1,9,5,32.0,1.5185185185185186,2.037037037037037,9.666666666666666,7.800000000000001,576,594,0,False,26.22222222222222,2,15.0,9.0,9.0,13.0
684,162.90000000000003,M,48.0,20130815,52000.0,58.0,5,5,4,12,0,0,3,11,16.0,1.1153846153846154,1.5384615384615383,11.428571428571429,7.642857142857143,576,582,0,False,26.30769230769231,1,14.0,6.0,14.0,12.0
672,39.739999999999995,M,49.0,20170126,73000.0,5.0,3,1,0,8,2,3,0,1,0.0,0.0,0.0,5.0,5.0,336,0,0,False,56.0,0,4.0,2.0,2.0,3.0
666,0.0,F,44.0,20180312,76000.0,19.0,5,4,0,0,1,4,2,3,0.0,0.0,0.0,5.555555555555555,6.222222222222222,576,0,0,False,74.0,0,9.0,6.0,5.0,8.0
672,765.8800000000001,F,53.0,20170423,84000.0,18.0,4,3,2,7,1,3,0,6,6.0,0.875,0.875,4.666666666666667,5.777777777777779,504,360,0,False,42.0,2,9.0,8.0,7.0,9.0
690,86.25999999999999,F,60.0,20150824,74000.0,42.0,4,1,2,4,3,1,3,3,15.0,1.3636363636363635,2.727272727272727,11.428571428571429,6.571428571428571,408,504,0,False,62.72727272727273,1,7.0,3.0,7.0,5.0
714,101.19,F,29.0,20161211,31000.0,46.0,4,3,1,15,1,1,4,3,2.0,0.4347826086956522,0.4347826086956522,8.75,7.125,576,606,0,False,30.52173913043478,0,8.0,8.0,5.0,8.0
636,181.16000000000005,F,54.0,20151024,119000.0,22.0,5,3,2,8,2,3,1,6,4.0,1.1111111111111112,1.1111111111111112,7.0,7.7,576,612,0,False,30.66666666666667,1,10.0,9.0,7.0,10.0
690,17.96,F,20.0,20170903,43000.0,56.0,5,4,0,8,1,1,6,2,0.0,0.0,0.0,7.111111111111112,5.777777777777779,576,0,0,False,40.58823529411765,0,9.0,8.0,7.0,9.0
522,135.57999999999998,F,70.0,20171109,92000.0,21.0,4,1,2,5,3,1,0,6,8.0,1.4166666666666667,2.25,10.142857142857142,7.42857142857143,504,504,0,False,43.5,1,7.0,3.0,7.0,5.0
702,53.92,F,69.0,20171220,79000.0,11.0,4,2,1,3,2,3,1,3,2.0,0.7000000000000001,1.0,5.0,5.2857142857142865,576,378,0,False,70.2,1,7.0,3.0,4.0,7.0
618,166.58999999999995,O,63.0,20150920,89000.0,45.0,2,2,2,8,0,0,6,0,15.0,1.0,1.0714285714285714,7.5,7.0,336,384,0,False,44.142857142857146,2,6.0,3.0,3.0,6.0
612,97.64,F,62.0,20170531,62000.0,16.0,4,3,2,5,1,4,0,5,7.0,1.4285714285714286,2.1428571428571432,7.777777777777779,6.888888888888889,576,474,0,False,43.714285714285715,1,9.0,7.0,5.0,7.0
708,161.89,M,44.0,20170802,64000.0,0.0,1,1,0,10,0,2,0,0,0.0,0.0,0.0,0.0,3.0,576,0,0,False,52.0,0,2.0,2.0,0.0,2.0
666,139.41000000000005,F,54.0,20170402,58000.0,64.0,6,4,4,9,2,2,10,2,17.0,1.1304347826086956,1.0869565217391304,5.714285714285714,6.0,576,606,0,False,28.956521739130434,2,14.0,7.0,10.0,14.0
702,195.01,M,64.0,20161210,76000.0,65.0,6,4,6,9,2,0,3,13,24.0,1.72,2.68,10.6875,7.0,576,684,0,False,28.080000000000002,4,16.0,6.0,16.0,14.0
420,71.95,M,39.0,20170604,71000.0,45.0,4,4,2,4,0,4,6,0,15.0,0.7142857142857143,1.0714285714285714,4.5,4.2,408,414,0,False,30.0,1,10.0,10.0,6.0,10.0
714,44.69000000000001,M,67.0,20160107,39000.0,63.0,6,3,3,16,3,1,6,5,10.0,0.75,0.7857142857142857,7.583333333333334,6.416666666666668,576,570,0,False,25.5,0,12.0,7.0,10.0,12.0
714,34.879999999999995,M,59.0,20150618,42000.0,21.0,5,2,1,11,3,2,2,4,5.0,0.36842105263157887,0.2631578947368421,7.5,6.375,576,384,0,False,37.57894736842106,0,8.0,2.0,6.0,7.0
636,232.9,F,83.0,20180513,67000.0,42.0,5,5,4,13,0,2,6,6,14.0,1.0740740740740742,1.1111111111111112,6.42857142857143,6.7857142857142865,576,600,0,False,23.555555555555557,1,14.0,6.0,14.0,14.0
672,252.14000000000001,F,68.0,20170626,57000.0,60.0,5,5,3,18,0,4,6,3,20.0,0.6451612903225806,1.1290322580645162,8.076923076923078,5.846153846153847,576,528,0,False,21.677419354838708,2,13.0,6.0,13.0,10.0
696,767.2899999999998,F,58.0,20151116,64000.0,45.0,5,5,4,13,0,2,3,9,15.0,1.1851851851851851,1.5555555555555556,9.0,7.2857142857142865,576,618,0,False,25.77777777777778,3,14.0,11.0,12.0,11.0
522,218.51,M,28.0,20161218,64000.0,45.0,3,3,3,12,0,0,3,6,15.0,1.0476190476190477,1.2857142857142858,9.0,7.333333333333334,408,408,0,False,24.857142857142858,2,9.0,9.0,9.0,9.0
666,230.21,M,70.0,20160320,64000.0,79.0,4,3,4,13,1,0,9,2,27.0,1.0,1.4583333333333333,8.636363636363638,5.909090909090909,576,612,0,False,27.5,1,11.0,9.0,8.0,11.0
648,223.7,M,77.0,20150209,94000.0,26.0,3,3,1,9,0,2,2,3,2.0,0.625,0.625,7.142857142857143,7.42857142857143,504,354,0,False,40.5,1,7.0,5.0,5.0,7.0
606,247.26000000000005,M,57.0,20170405,65000.0,25.0,6,6,3,14,0,4,0,11,7.0,0.7241379310344828,0.9310344827586208,6.733333333333333,6.066666666666666,576,576,0,False,20.896551724137932,1,15.0,5.0,13.0,15.0
714,86.28,F,46.0,20150221,73000.0,85.0,6,6,5,5,0,0,12,5,27.0,1.5454545454545454,1.5909090909090908,7.352941176470589,6.8235294117647065,576,624,0,False,32.45454545454545,2,17.0,12.0,14.0,17.0
714,23.17,M,64.0,20180102,43000.0,35.0,4,2,2,10,2,0,3,5,4.0,0.9444444444444444,1.1111111111111112,9.375,7.625,576,714,0,False,30.333333333333336,0,8.0,5.0,8.0,8.0
708,59.09,F,42.0,20170912,50000.0,56.0,5,3,3,4,2,2,6,3,17.0,1.6,1.6666666666666667,7.272727272727272,7.090909090909092,576,588,0,False,36.0,0,11.0,7.0,8.0,11.0
714,371.9099999999999,F,46.0,20170319,62000.0,35.0,5,3,5,23,2,0,3,10,13.0,1.0833333333333333,1.25,8.846153846153848,7.923076923076923,576,612,0,False,19.0,2,13.0,9.0,13.0,13.0
666,34.01,F,28.0,20180120,65000.0,53.0,5,5,3,8,0,2,5,6,11.0,0.9047619047619048,0.9047619047619048,5.923076923076923,5.923076923076923,504,612,0,False,31.71428571428572,0,13.0,13.0,9.0,13.0
660,21.57,M,61.0,20180523,59000.0,19.0,6,5,1,10,1,7,2,3,3.0,0.3181818181818182,0.3181818181818182,2.5833333333333335,4.583333333333333,576,498,0,False,30.0,0,12.0,9.0,8.0,12.0
714,50.09,M,38.0,20170827,66000.0,19.0,4,4,2,18,0,2,0,8,5.0,0.6071428571428571,0.6071428571428571,7.1000000000000005,7.7,576,714,0,False,25.5,0,10.0,10.0,8.0,10.0
678,28.0,M,21.0,20171008,53000.0,45.0,4,2,0,7,2,1,4,1,0.0,0.0,0.0,10.0,7.0,576,0,0,False,52.15384615384615,0,6.0,4.0,2.0,5.0
630,193.38,M,54.0,20180308,70000.0,78.0,4,4,4,11,0,0,6,6,26.0,1.1304347826086956,1.478260869565217,8.5,6.5,576,606,0,False,26.608695652173914,2,12.0,12.0,9.0,12.0
714,47.45,M,70.0,20150104,65000.0,14.0,5,4,2,16,1,4,0,7,4.0,0.7407407407407407,0.7407407407407407,6.363636363636363,7.363636363636363,576,624,0,False,26.444444444444446,0,11.0,8.0,9.0,11.0
624,89.37,F,81.0,20180401,79000.0,41.0,6,4,2,4,2,3,6,3,10.0,0.875,0.625,5.333333333333333,6.333333333333334,576,450,0,False,39.0,1,12.0,4.0,10.0,11.0
